Slice_Index,Organs_Present
0,None
1,None
2,None
3,None
4,None
5,None
6,None
7,None
8,None
9,None
10,None
11,None
12,None
13,None
14,None
15,None
16,None
17,None
18,None
19,None
20,None
21,None
22,None
23,None
24,None
25,None
26,None
27,None
28,None
29,None
30,None
31,None
32,None
33,None
34,None
35,None
36,None
37,None
38,None
39,None
40,None
41,None
42,None
43,None
44,None
45,None
46,None
47,None
48,None
49,None
50,None
51,None
52,None
53,None
54,None
55,None
56,None
57,None
58,None
59,None
60,None
61,None
62,liver
63,liver
64,liver
65,liver
66,liver
67,liver
68,liver
69,liver
70,liver
71,liver
72,liver
73,liver
74,liver
75,liver
76,liver
77,liver
78,kidney_right; liver
79,kidney_right; liver
80,kidney_right; liver
81,kidney_right; liver
82,kidney_right; liver
83,kidney_right; liver; stomach
84,kidney_right; liver; stomach
85,kidney_right; liver; stomach
86,kidney_right; liver; stomach
87,kidney_left; kidney_right; liver; stomach
88,kidney_left; kidney_right; liver; stomach
89,kidney_left; kidney_right; liver; stomach
90,kidney_left; kidney_right; liver; stomach
91,kidney_left; kidney_right; liver; stomach
92,kidney_left; kidney_right; liver; stomach
93,kidney_left; kidney_right; liver; stomach
94,kidney_left; kidney_right; liver; stomach
95,kidney_left; kidney_right; liver; stomach
96,kidney_left; kidney_right; liver; stomach
97,kidney_left; kidney_right; liver; stomach
98,kidney_left; kidney_right; liver; stomach
99,kidney_left; kidney_right; liver; stomach
100,kidney_left; kidney_right; liver; stomach
101,kidney_left; kidney_right; liver; stomach
102,kidney_left; kidney_right; liver; stomach
103,kidney_left; kidney_right; liver; stomach
104,kidney_left; kidney_right; liver; stomach
105,kidney_left; kidney_right; liver; stomach
106,kidney_left; kidney_right; liver; spleen; stomach
107,kidney_left; kidney_right; liver; spleen; stomach
108,kidney_left; kidney_right; liver; spleen; stomach
109,kidney_left; kidney_right; liver; spleen; stomach
110,kidney_left; kidney_right; liver; spleen; stomach
111,kidney_left; kidney_right; liver; spleen; stomach
112,kidney_left; kidney_right; liver; spleen; stomach
113,kidney_left; kidney_right; liver; spleen; stomach
114,kidney_left; kidney_right; liver; spleen; stomach
115,kidney_left; kidney_right; liver; spleen; stomach
116,kidney_left; kidney_right; liver; spleen; stomach
117,kidney_left; kidney_right; liver; spleen; stomach
118,kidney_left; liver; spleen; stomach
119,kidney_left; liver; spleen; stomach
120,kidney_left; liver; spleen; stomach
121,kidney_left; liver; spleen; stomach
122,kidney_left; liver; spleen; stomach
123,kidney_left; liver; spleen; stomach
124,liver; spleen; stomach
125,liver; spleen; stomach
126,liver; spleen; stomach
127,liver; spleen; stomach
128,liver; spleen; stomach
129,liver; spleen; stomach
130,liver; spleen; stomach
131,liver; spleen; stomach
132,liver; spleen; stomach
133,liver; spleen; stomach
134,heart; liver; spleen; stomach
135,heart; liver; spleen; stomach
136,heart; spleen
137,heart; spleen
138,heart; spleen
139,heart; spleen
140,heart; spleen
141,heart
142,heart
143,heart
144,heart
145,heart
146,heart
